numberShort;uicCountryCode;sloid;number;checkDigit;validFrom;validTo;designationOfficial;designationLong;abbreviation;operatingPoint;operatingPointWithTimetable;stopPoint;stopPointType;freightServicePoint;trafficPoint;borderPoint;hasGeolocation;isoCountryCode;cantonName;cantonFsoNumber;cantonAbbreviation;districtName;districtFsoNumber;municipalityName;fsoNumber;localityName;operatingPointType;operatingPointTechnicalTimetableType;meansOfTransport;categories;operatingPointTrafficPointType;operatingPointRouteNetwork;operatingPointKilometer;operatingPointKilometerMasterNumber;sortCodeOfDestinationStation;businessOrganisation;businessOrganisationNumber;businessOrganisationAbbreviationDe;businessOrganisationAbbreviationFr;businessOrganisationAbbreviationIt;businessOrganisationAbbreviationEn;businessOrganisationDescriptionDe;businessOrganisationDescriptionFr;businessOrganisationDescriptionIt;businessOrganisationDescriptionEn;fotComment;lv95East;lv95North;wgs84East;wgs84North;height;creationDate;editionDate;status
4300;85;ch:1:sloid:4300;8504300;0;2021-04-01;9999-12-31;Biel/Bienne;;BI;true;true;true;ORDERLY;true;true;false;true;CH;Bern;2;BE;Biel/Bienne;242;Biel/Bienne;371;Biel/Bienne;;;TRAIN;PARK_AND_RAIL;;true;true;8504300;43000;ch:1:sboid:100001;11;SBB;CFF;FFS;SBB;Schweizerische Bundesbahnen SBB;Chemins de fer fédéraux suisses CFF;Ferrovie federali svizzere FFS;Swiss Federal Railways SBB;;2585151.205;1220231.592;7.24291060323;47.13289787086;437.08;2017-11-09 21:17:37;2024-04-08 09:26:06;VALIDATED
15308;85;ch:1:sloid:15308;8515308;0;2019-12-06;9999-12-31;Biel/Bienne West;;BIW;true;true;false;;false;false;false;true;CH;Bern;2;BE;Biel/Bienne;242;Biel/Bienne;371;Biel/Bienne;;SERVICE_STATION;;;;false;true;8504300;;ch:1:sboid:100001;11;SBB;CFF;FFS;SBB;Schweizerische Bundesbahnen SBB;Chemins de fer fédéraux suisses CFF;Ferrovie federali svizzere FFS;Swiss Federal Railways SBB;(Zug);2584880.757;1220326.534;7.23934270911;47.13374569843;437.8;2017-11-09 11:53:05;2024-04-08 09:26:06;VALIDATED
15304;85;ch:1:sloid:15304;8515304;9;2019-07-16;9999-12-31;Biel/Bienne Aebistrasse;;BIAE;true;true;false;;false;false;false;true;CH;Bern;2;BE;Biel/Bienne;242;Biel/Bienne;371;Biel/Bienne;;CONNECTING_POINT;;;;false;true;8504300;;ch:1:sboid:100001;11;SBB;CFF;FFS;SBB;Schweizerische Bundesbahnen SBB;Chemins de fer fédéraux suisses CFF;Ferrovie federali svizzere FFS;Swiss Federal Railways SBB;(Zug);2585613.313;1219980.517;7.2490095631;47.13064976301;438.16;2017-11-09 11:53:05;2024-04-08 09:26:06;VALIDATED
15307;85;ch:1:sloid:15307;8515307;2;2019-12-06;9999-12-31;Biel/Bienne Ost;;BIO;true;true;false;;false;false;false;true;CH;Bern;2;BE;Biel/Bienne;242;Biel/Bienne;371;Biel/Bienne;;SERVICE_STATION;;;;false;true;8504300;;ch:1:sboid:100001;11;SBB;CFF;FFS;SBB;Schweizerische Bundesbahnen SBB;Chemins de fer fédéraux suisses CFF;Ferrovie federali svizzere FFS;Swiss Federal Railways SBB;(Zug);2586391.131;1220646.806;7.25924113567;47.13665945787;440.374;2017-11-09 11:53:05;2024-04-08 09:26:06;VALIDATED
12178;85;ch:1:sloid:12178;8512178;0;2025-05-16;9999-12-31;Biel/Bienne Serviceanlage;;BISA;true;true;false;;false;false;false;true;CH;Bern;2;BE;Biel/Bienne;242;Biel/Bienne;371;Biel/Bienne;;SERVICE_STATION;;;;false;true;8504300;;ch:1:sboid:100001;11;SBB;CFF;FFS;SBB;Schweizerische Bundesbahnen SBB;Chemins de fer fédéraux suisses CFF;Ferrovie federali svizzere FFS;Swiss Federal Railways SBB;;2586324.021;1220005.013;7.25837606837;47.13088525726;439.125;2025-05-15 14:01:26;2025-05-15 14:01:26;VALIDATED
4229;85;ch:1:sloid:4229;8504229;1;2021-04-01;9999-12-31;Tüscherz;;TUE;true;true;true;ORDERLY;false;true;false;true;CH;Bern;2;BE;Biel/Bienne;242;Twann-Tüscherz;756;Tüscherz-Alfermée;;;TRAIN;;;true;true;8504229;;ch:1:sboid:100001;11;SBB;CFF;FFS;SBB;Schweizerische Bundesbahnen SBB;Chemins de fer fédéraux suisses CFF;Ferrovie federali svizzere FFS;Swiss Federal Railways SBB;;2581686.073;1218252.357;7.19731836547;47.11500775261;434.55;2017-11-09 11:53:05;2024-04-08 09:26:06;VALIDATED
76391;85;ch:1:sloid:76391;8576391;2;2021-04-01;9999-12-31;Biel/Bienne, Bahnhof/Gare;;BIBF;true;true;true;ORDERLY;false;true;false;true;CH;Bern;2;BE;Biel/Bienne;242;Biel/Bienne;371;Biel/Bienne;;;BUS;;;false;false;;;ch:1:sboid:100688;889;VB;VB;VB;VB;Verkehrsbetriebe Biel;Transports publics biennois;Verkehrsbetriebe Biel;Verkehrsbetriebe Biel;;2585182.0;1220294.999;7.24331441119;47.13346889898;437.0;2017-11-09 11:53:05;2024-04-08 09:26:07;VALIDATED
71201;85;ch:1:sloid:71201;8571201;8;2021-07-07;9999-12-31;Biel/Bienne, Badhausstrasse;Biel/Bienne, Badhausstrasse/Rue des Bains;;true;true;true;ORDERLY;false;true;false;true;CH;Bern;2;BE;Biel/Bienne;242;Biel/Bienne;371;Biel/Bienne;;;BUS;;;false;false;;;ch:1:sboid:100688;889;VB;VB;VB;VB;Verkehrsbetriebe Biel;Transports publics biennois;Verkehrsbetriebe Biel;Verkehrsbetriebe Biel;;2584932.0;1220202.999;7.24002228385;47.13263569979;435.0;2017-11-09 11:53:05;2024-04-08 09:26:07;VALIDATED
79946;85;ch:1:sloid:79946;8579946;0;2022-12-11;9999-12-31;Biel/Bienne, Residenz;Biel/Bienne, Residenz au Lac/Residence au Lac;;true;true;true;ORDERLY;false;true;false;true;CH;Bern;2;BE;Biel/Bienne;242;Biel/Bienne;371;Biel/Bienne;;;BUS;;;false;false;;;ch:1:sboid:100688;889;VB;VB;VB;VB;Verkehrsbetriebe Biel;Transports publics biennois;Verkehrsbetriebe Biel;Verkehrsbetriebe Biel;;2584914.6112;1219956.72828;7.23980135246;47.13042013182;433.0;2017-11-09 11:53:05;2024-04-08 09:26:07;VALIDATED
93389;85;ch:1:sloid:93389;8593389;5;2021-04-01;9999-12-31;Nidau, Schloss/Château;Nidau, Schloss Nidau/Château de Nidau;;true;true;true;ORDERLY;false;true;false;true;CH;Bern;2;BE;Biel/Bienne;242;Nidau;743;Nidau;;;BUS;;;false;false;;;ch:1:sboid:100688;889;VB;VB;VB;VB;Verkehrsbetriebe Biel;Transports publics biennois;Verkehrsbetriebe Biel;Verkehrsbetriebe Biel;;2584954.0;1219581.999;7.24033306012;47.12705042171;435.0;2017-11-09 11:53:05;2024-04-08 09:26:07;VALIDATED
71202;85;ch:1:sloid:71202;8571202;6;2021-04-01;9999-12-31;Nidau, Kirche/Eglise;;;true;true;true;ORDERLY;false;true;false;true;CH;Bern;2;BE;Biel/Bienne;242;Nidau;743;Nidau;;;BUS;;;false;false;;;ch:1:sboid:100688;889;VB;VB;VB;VB;Verkehrsbetriebe Biel;Transports publics biennois;Verkehrsbetriebe Biel;Verkehrsbetriebe Biel;;2584980.0;1219374.999;7.24068264236;47.1251890868;435.0;2017-11-09 11:53:05;2024-04-08 09:26:07;VALIDATED
4461;85;ch:1:sloid:4461;8504461;0;2023-08-28;9999-12-31;Nidau;;NIDA;true;true;true;ORDERLY;false;true;false;true;CH;Bern;2;BE;Biel/Bienne;242;Nidau;743;Nidau;;;TRAIN;;;true;true;8504461;;ch:1:sboid:100020;38;ASM-bti;ASM-bti;ASM-bti;ASM-bti;Aare Seeland mobil (bti);Aare Seeland mobil (bti);Aare Seeland mobil (bti);Aare Seeland mobil (bti);;2585094.0;1219226.0;7.24218997142;47.12385145793;433.3;2017-11-09 21:18:41;2024-04-08 09:26:06;VALIDATED
4469;85;ch:1:sloid:4469;8504469;3;2021-04-01;9999-12-31;Nidau Beunden;;NIBE;true;true;true;ORDERLY;false;true;false;true;CH;Bern;2;BE;Biel/Bienne;242;Nidau;743;Nidau;;;TRAIN;;;true;true;8504469;;ch:1:sboid:100020;38;ASM-bti;ASM-bti;ASM-bti;ASM-bti;Aare Seeland mobil (bti);Aare Seeland mobil (bti);Aare Seeland mobil (bti);Aare Seeland mobil (bti);;2584950.966;1218778.165;7.24031999956;47.11982000197;431.2;2017-11-09 11:53:05;2024-04-08 09:26:06;VALIDATED
94089;85;ch:1:sloid:94089;8594089;0;2021-07-07;9999-12-31;Nidau, Bahnhof;Nidau, Bahnhof/Nidau, gare;;true;true;true;ORDERLY;false;true;false;true;CH;Bern;2;BE;Biel/Bienne;242;Nidau;743;Nidau;;;BUS;;;false;false;;;ch:1:sboid:100688;889;VB;VB;VB;VB;Verkehrsbetriebe Biel;Transports publics biennois;Verkehrsbetriebe Biel;Verkehrsbetriebe Biel;;2585062.0;1219196.999;7.24176922411;47.1235898734;436.0;2017-11-09 11:53:05;2024-04-08 09:26:07;VALIDATED
